Kaibigan,"

Malayo ang tingin
Wala namang tinatanaw
At kapansin-pansin
Sa bawat kilos niya't galaw

Kaibigan, siya'y umiibig sa 'yo
At 'ya'y 'di maikubli ng giliw ko

Pakaingatan mo ang puso nyang walang lakas
Sa harap ng tukso, 'wag mong isipin siya'y wagas
Ngunit kaibigan, kahit siya'y nagkaganyan (Nagkaganyan)
Wala na 'kong kasing mahal, hooh

(Malayo ang tingin) Malayo ang tingin
(Walang namang tinatanaw) Wala namang tinatanaw
(At kapansin-pansin) Ho-oh
(Sa bawat kilos niya't galaw)

Kaibigan, siya'y umiibig sa 'yo
At 'ya'y 'di maikubli ng giliw ko (Ng giliw ko)

Pakaingatan mo ang puso niyang walang lakas
Sa harap ng tukso, 'wag mong isipin siya'y wagas
Ngunit kaibigan, kahit siya'y nagkaganyan
Wala na 'kong kasing mahal

Pinakamamahal
Malayo ang tingin
",Ogie Alcasid
Siya Na Ba,"

Siya na ba ang pag-ibig mo ngayon?
Siya na ba'y panghabang panahon?
Siya na ba nang tayo'y magkagalit?
Siya na ba'ng aking kapalit?

Siya ba'y bulag din sa 'yong mga kataksilan?
Kunwa'y bingi rin sa masamang usap-usapan
Naniniwala sa kasinungalingan mo
Labis din kayang mahal ka niya tulad ko?

Ngunit kung 'di siya ang may ganitong katangian
At 'di niya kaya ang ikaw ay mapagtimpian
Mahal mo nga ba o 'di mo lang mahindian
Kung nais mong magbalik, sinta
Alam mong tatanggapin kita, 'di ba?

Ngunit kung siya'y mahal mo ngang tunay
Ikaw sana'y magbagong-buhay
Kung ikaw ay tunay niya ring mahal
Nasa inyo ang aking dasal

Siya ba'y bulag din sa 'yong mga kataksilan
Kunwa'y bingi rin sa masamang usap-usapan
Naniniwala sa kasinungalingan mo
Labis din kayang mahal ka niya tulad ko, oh

Ngunit kung 'di siya ang may ganitong katangian
At 'di niya kaya ang ikaw ay mapagtimpian
Mahal mo nga ba o 'di mo lang mahindian
O, siya na nga ba o 'di mo lang mahindian

Woah, oh-oh
Siya na ba?
",Ogie Alcasid
Kapantay Ay Langit,"

Mahal kita, kapantay ay langit, sinta
At lagi kong dasal sa Maykapal ang lumigaya ka
Kahit ngayon, mayro'n ka nang ibang mahal
Hinding-hindi pa rin ako magdaramdam

Ngunit sinta, sakaling paluhain ka
Magbalik ka lamang, naghihintay puso ko't kaluluwa
Pag-ibig ko kapantay ay langit, hirang
Hindi magbabago kailan pa man

Ngunit sinta, sakaling paluhain ka
Magbalik ka lamang, naghihintay puso ko't kaluluwa
Pag-ibig ko kapantay ay langit, hirang (Langit, hirang)
Hindi magbabago kailan pa man

Hindi magbabago kailan pa man
Mahal kita
",Ogie Alcasid
Kastilyong Buhangin,"

Minsan ang isang pangako'y maihahambing
Sa isang kastilyong buhangin
Sakdal-rupok at huwag 'di masaling
Guguho sa ihip ng hangin

Ang alon ng maling pagmamahal
Ang siyang kalaban niyang mortal
Kapag dalampasiga'y nahagkan
Ang kastilyo ay nabubuwal

Kaya't bago natin bigkasin ang pagsintang sumpa
Sa minumutya, sa diwa't gawa
Pakaisipin natin kung pag-ibig ay wagas
Kahit na magsanga ng landas

Minsan, dalawang puso'y nagsumpaan
Pag-ibig na walang hanggan
Sumpang kastilyong buhangin pala
Pag-ibig na pansamantala

Kaya't bago natin bigkasin ang pagsintang sumpa
Sa minumutya, sa diwa't gawa
Pakaisipin natin kung pag-ibig ay wagas
Kahit pa magsanga ng landas

Minsan, dalawang puso'y nagsumpaan
Pag-ibig na walang hanggan
Sumpang kastilyong buhangin pala
Pansamantala, luha ang dala

'Yan ang pag-ibig na nangyari sa atin
Gumuhong kastilyong buhangin
",Ogie Alcasid
Dito Ba,"

Dito ba, dito ba
Dito ba, o, dito ba
Ang dapat kong kalagyan
Na isang sulok kong hiram
Sa ilalim ng araw?

Dito ba ang daigdig ko ngayon?
Bakit ibang iba sa daigdig ko noon?
Dito ba kung sa'n naroroon
Ang hinahanap kong wala sa panahon?

Dito ba ang sulok kong takda sa ilalim ng araw?
Kung saan kay lalim ng ng luha, ligaya'y kay babaw
Dito ba ang sulok kong takda sa ilalim ng araw?

Dito ba ako naaangkop
Sa paraiso ng walang kumukupkop?
Dito ba naroon ang tagumpay?
Magkabila'y ngiti, sa loob ay may lumbay

Dito ba ang sulok kong takda sa ilalim ng araw?
Kung saan kay lalim ng ng luha, ligaya'y kay babaw
Dito ba ang sulok kong takda sa ilalim ng araw?
Kung saan kay lalim ng ng luha, ligaya'y kay babaw
Dito ba ang sulok kong takda sa ilalim ng araw?
Dito ba ang sulok kong takda sa ilalim ng araw?
Dito ba ang sulok kong takda sa ilalim ng araw?

Dito ba?
Dito ba?
",Ogie Alcasid
Langis At Tubig,"

Tubig at langis
Ang katayuan nati'y 'yan ang kawangis
Pilitin mang magsama'y may mahahapis
Ganyang-ganyan tayong dalawa
Ang panuntuna'y magkaiba

Langis at tubig
'Di mapagsama ng tunay mang pag-ibig
Hinanakit ang siyang laging mananaig
Mahal na mahal man kita
May mahal ka namang iba

Tubig at langis
Idarang man sa init, 'di rin tatamis
Dahil ang halo'y luha't paghihinagpis
Ang kirot ay 'di maalis kung labis

Bakit nanaig
Ang dusa sa ligaya sa ating daigdig?
May dasal ba akong hindi Niya narinig?
Papel natin sa pag-ibig
Ako'y langis, ika'y tubig

Woah-ho-oh-oh-oh

Tubig at langis
Idarang man sa init, 'di rin tatamis
Dahil ang halo'y luha't paghihinagpis
Ang kirot ay 'di maalis kung labis

Bakit nanaig
Ang dusa sa ligaya sa ating daigdig?
May dasal ba akong hindi Niya narinig?
Papel natin sa pag-ibig
Ako'y langis, ika'y tubig

Ako'y langis, ika'y tubig
",Ogie Alcasid
Kahapon Lamang,"

Kahapon lamang narito ang saya
May dalawang puso, daigdig na kay ganda
Sa kanilang mata mababanaag pa
Ningning ng pagsinta ukol sa isa't isa

Kahapon lamang ay magkahawak pa
Sa isang landasin na ngayo'y nagsanga
Bagama't may ngiti, balatkayong saya
Magkabalikan pa kaya sila?

Kahapon lamang ay kay saya, ah
Woah, woah-oh

Sa kanilang mata mababanaag pa
Ningning ng pagsinta ukol sa isa't isa

Kahapon lamang pag-ibig ay wagas
Animo'y batis na 'di magwawakas
Ngunit ba't naglayo, 'di na nagkasundo
Kahit nagmamahalan kapwa puso
Kahapon lamang pag-ibig ay wagas
Animo'y batis na 'di magwawakas
Ngunit ba't naglayo, 'di na nagkasundo
Kahit nagmamahalan kapwa puso

Kahapon lamang ay kay saya
",Ogie Alcasid
Ikaw,"

Ikaw ang bigay ng Maykapal
Tugon sa aking dasal
Upang sa lahat ng panahon
Bawat pagkakataon
Ang ibigin ko'y ikaw

Ikaw ang tanglaw sa aking mundo
Kabiyak nitong puso ko
Wala ni kahati mang saglit
Na sa 'yo'y maipapalit
Ngayo't kailanma'y ikaw

Ang lahat ng aking galaw
Ang sanhi ay ikaw
Kung may bukas mang tinatanaw
Dahil may isang ikaw
Kulang ang magpakailan pa man
Upang bawat sandali ay
Upang muli't muli ay
Ang mahalin ay ikaw
",Ogie Alcasid
Ngayon At Kailanman,"

Ngayon at kailanman
Sumpa ko'y iibigin ka
Ngayon at kailanman
Hindi ka na mag-iisa
Ngayon at kailanman
Sa hirap o ginhawa pa
Asahang may kasama ka, sinta

Naroroon ako t'wina
Maaasahan mo t'wina
Ngayon at kailanman

Dahil kaya sa 'yo
Ng maitadhanang ako'y isilang sa mundo
Upang sa araw-araw ay siyang makapiling mo
Upang ngayon at kailanman
Ikaw ay mapalingkuran, hirang

Bakit labis kitang mahal?
Pangalawa sa Maykapal
Higit sa aking buhay

Sa bawat araw, ang pag-ibig ko sa 'yo, liyag
Lalong tumatamis, tumitingkad
Bawat kahapon ay daig nitong bawat ngayon
Na daig ng bawat bukas

Malilimot ka lang
Kapag ang araw at bituin ay 'di na matanaw
Kapag tumigil ang daigdig at 'di na gumalaw
Subalit isang araw pa
Matapos ang mundo'y magunaw na

Hanggang doon magwawakas
Pag-ibig kong sadyang wagas
Ngayon at kailanman

Sa bawat araw, ang pag-ibig ko sa 'yo, liyag
Lalong tumatamis, tumitingkad
Bawat kahapon ay daig nitong bawat ngayon
Na daig ng bawat bukas, woah-oh-oh-oh
(Sa bawat araw ang pag-ibig ko sa 'yo, liyag
Lalong tumatamis, tumitingkad) Ngayon at kailanman
(Bawat kahapon ay daig nitong bawat ngayon) Woah-oh-oh-oh
(Na daig ng bawat bukas)

Labis kitang mahal (Ngayon at kailanman)
Tangi sa Maykapal
Ngayon at kailanman
",Ogie Alcasid
Gaano Kadalas Ang Minsan,"

Gaano kadalas ang minsan lang ka mahagkan?
Singdalas na rin ng dami ng bituin, waring walang hanggan
Dahil sa labi ko'y laging mararamdaman
Kahit sandali, halik mo'y dumampi minsan

Gaano kadalas ang makapiling kang minsan?
Sa 'kin sindalas ng walang wakas, saglit mang magpisan
Dahil sa ganoong paraan lang mag-iisa
Kung magsasanib ang dalawang dibdib, 'di ba?

Ngunit kung pag-ibig ay hindi rin lang wagas
Mabuti pa, mabuti nga, mabuti ang hanggang maaga'y magwakas
Pagkukunwari'y itago man ay lalabas
At minsan kang matuklasan hapdi'y walang kasing dalas

Gaano kadalas ang minsan mo akong saktan?
Kahit minsan lang, sa akin para bang walang katapusan
Gaano kadalas ba ang puso'y mamamatay?
Ga'no kadalas, ga'no kadalas ang minsan?

Ngunit kung pag-ibig ay hindi rin lang wagas
Mabuti pa, mabuti nga, mabuti ang hanggang maaga'y magwakas
Pagkukunwari'y itago man ay lalabas
At minsan kang matuklasan hapdi'y walang kasing dalas

Gaano kadalas ang minsan mo akong saktan?
Kahit minsan lang, sa akin para bang walang katapusan
Gaano kadalas ba ang puso'y mamamatay?
Ga'no kadalas, ga'no kadalas ang minsan?

Ga'no kadalas, ga'no kadalas ang minsan?
",Ogie Alcasid
Kung Mawawala Ka,"

Kung mawawala ka sa piling ko
Hindi ito matatanggap ng puso ko
At bawat pangarap ay biglang maglalaho
Mawawalang saysay ang mabuhay sa mundo

Kung masamang panaginip lamang to
Sana ako ay gisingin mo
At sa aking paggising akoy iyong yakapin
At sabihin mong akoy mahal mo rin

Kung mawawala ka
Hindi ko makakayang
Harapin ang bukas ng nagiisa
Kung akoy iiwan mo paano na tayo
Sayang ang pangako sa isat isa
Kung mawawala ka

Kung mawawala ka
Hindi ko makakayang
Harapin ang bukas ng nagiisa
Kung akoy iiwan mo paano na tayo
Sayang ang pangako sa isat isa
Kung mawawala ka
",Ogie Alcasid
Ikaw Lang,"

Ikaw lang, ikaw lang

Ikaw ang aking mahal
Iibigin ka magpakailan pa man
Ikaw ang nasa 'king puso
Pagtingin sa 'yo'y 'di magbabago

Kung bibigyan ako ng panibagong buhay
Sa 'yo pa rin ako, oh, giliw ko
Nais ko'y lagi kang nasa 'king piling
Abutin man tayo ng takip-silim

Ikaw ang nagturo sa 'kin
Tibok ng puso'y 'di nililihim
Kung kaya ako ay pakinggan
Pag-ibig ko sa 'yo'y 'paglalaban

Paikot-ikutin pa ang aking puso
Ikaw pa rin ang siyang laman nito
Nais ko, ika'y laging yakap-yakap
Kailan mo ako matatanggap?

Ikaw lang ang aking iibigin
Pagsamo sa 'yo'y iyong dinggin
Kahit na aking ulit-ulitin
Malaman mo lamang ang damdamin
Nais ko, ika'y laging yakap-yakap
Giliw ko, ikaw ang pangarap

Paikot-ikutin pa ang aking puso
Ikaw pa rin ang siyang laman nito
Nais ko, ika'y laging yakap-yakap
Kailan mo ako matatanggap?

Ikaw lang ang aking iibigin
Pagsamo sa 'yo'y iyong dinggin
Kahit na aking ulit-ulitin
Malaman mo lamang ang damdamin
Nais ko, ika'y laging yakap-yakap
Giliw ko, ikaw ang pangarap

Ikaw lang ang aking iibigin
Pagsamo sa 'yo'y iyong dinggin
Kahit na aking ulit-ulitin
Malaman mo lamang ang damdamin
Nais ko, ika'y laging yakap-yakap
Giliw ko, ikaw ang pangarap

Ikaw lang, ikaw lang (ikaw ang pangarap)
Ikaw lang, ikaw lang
",Ogie Alcasid
Kahit Na,"

Ang puso ko'y sa'yo lamang ibibigay
Wag ka nang mangamba
Kahit kailan sa'yo lamang iaalay
Ang pag-ibig kong ito
Ngunit bakit gano'n hindi mo nakikita
Ang pagsuyo ko na sadyang tunay

Kahit na ako'y hindi pinapansin
Hindi titigil ang pag-ibig ko
Kahit na ako'y hindi mo ibigin
Kahit na ako'y hindi mo mahal

Wag mo sana ako sisisihin
Kung bakit ako ganito
Na para bang ako'y isang alipin
Ng pagmamahal sa'yo
Sana'y iyong silipin ang puso mo
Kung mayro'n s'yang nararamdaman

Kahit na ako'y hindi pinapansin
Hindi titigil ang pag-ibig ko
Kahit na ako'y hindi mo ibigin
Kahit na ako'y hindi mo mahal

Kahit na ako'y hindi pinapansin
Hindi titigil ang pag-ibig ko
Kahit na ako'y hindi mo ibigin
Kahit na ako'y hindi mo mahal
",Ogie Alcasid
I Promise You,"

When I met you
An angel whisper to me
That you would be the one
I would share my life forever
And when you look at me
I knew that we have been together
From another place and time
And God us made our souls made again

Now that you are here
I want you to know

I promise you forever in my heart
I will be true, we'll never be apart
I will love you, I always will
I promise you

Now we are one
Blessed by the heavens up above
Wish of life
And take all our dreams with us
Make them real
Until we grow old together
So we can look back
And never regret what we have done

My love, no need to fear
'Cause I promise you

I promise you (I promise, I promise)
Forever in my heart
I will be true (I promise, I promise)
We'll never be apart
I will love you (I promise, I promise)
I always will
I promise you

I always will
I promise you
",Ogie Alcasid
Sa ,"

Kailan ka kaya babalik
Sa 'king piling, aking mahal?
Oh, kay hirap namang isipin
Na ikaw ay wala na

Kung ako ay mahal mo pa
Sana'y bigyan ng pagkakataon
Masabi ang lahat sa 'yo

Ang pag-ibig ko'y sa 'yo lamang ibibigay
Sa 'yo lamang iaalay ang puso
Kahit na kailangan pa na ako ay maghintay
Magpakailan pa man, ako'y sa 'yo lamang

Bakit ba hindi ko magawang
Limutin ka, aking mahal?
Bawat araw na nagdaraan
Hinahanap ang 'yong yakap

Ano ba ang nangyari sa atin? Bakit nagbago?
Mayro'n ba 'kong nasabi at ika'y nasaktan?

Ang pag-ibig ko'y sa 'yo lamang ibibigay
Sa 'yo lamang iaalay ang puso
Kahit na kailangan pa na ako ay maghintay
Magpakailan pa man, ako'y sa 'yo lamang
Ang pag-ibig ko'y sa 'yo lamang ibibigay
Sa 'yo lamang iaalay ang puso
Kahit na kailangan pa na ako ay maghintay
Magpakailan pa man, ako'y sa 'yo lamang
",Ogie Alcasid
When I See You Smile,"

When I see you smile
You ease all the worries in my mind
You always bring joy to my heart
Oh, how I feel so blessed that I have you
You take away my sorrows completely

When I hear you laugh
You make me understand why I am here in this world
You make me realize what I should do
To be with you through all your ups and downs
To give all my love to you completely, oh baby

I will be here when you feel all alone
I will be here when you need to be strong
I will be here when everything seems upside down
I will be here, I will be here for you

When you call my name
I feel all the love you give so freely
And I take with me all the love
Oh, how I feel so blessed that I have you
You take away my sorrows completely, oh baby

I will be here when you feel all alone
I will be here when you need to be strong
I will be here when everything seems upside down
I will be here, I will be here for you

I will be here when you feel all alone
I will be here when you need to be strong
I will be here when everything seems upside down
I will be here, I will be here for you
",Ogie Alcasid
I Believe,"

I believe we'll be together
And we can be one again
I believe in the end it's still you and I
'Cause you've been the lover and friend

Deep in my heart I know that you never meant to walk away
'Cause I know that you wanted to stay

I believe
I believe
I believe
I believe

I believe one day you'll wake up
And you will be missing me
And I know that you'll come back
Oh, come back to the one you've really loved

And when the day comes I'll take you in my arms again
And never ever let you go

I believe
I believe
I believe
I believe

Deep in my heart I know that you never meant to walk away
'Cause I know you wanted to stay

I believe
I believe
I believe
I believe

I believe
I believe
I believe
I believe

I believe
I believe
",Ogie Alcasid
Bongga Ka Day,"

Lahat ay nagulat nang buksan ang pinto
Sayaw ng mga tao'y biglang nahinto
Buhok mo'y Budji, talampaka'y Gucci
Suot mo'y gawa ni Pitoy
Di nanggaling kay Eloy

[Chorus:]
Bongga ka, 'Day
Bongga ka, 'Day
Sige lang, sige lang, itaas ang kilay
Bongga ka, 'Day
Bongga ka, 'Day
Sige lang, sige lang, itaas ang kilay

Tapos na ang araw ng hirap at gutom
Suwerte ka't nakahagip ng madatong
Buhok mo'y Budji, talampaka'y Gucci
Suot mo'y gawa ni Pitoy
Di nanggaling kay Eloy

[Repeat Chorus]

Tapos na ang araw ng hirap at gutom
Suwerte ka't nakahagip ng madatong
Buhok mo'y Budji, talampaka'y Gucci
Suot mo'y gawa ni Pitoy
Di nanggaling kay Eloy

[Repeat Chorus till end]
",Ogie Alcasid
Simply Jessie,"

And I don't know how I knew it
But I knew it somehow
You're the answer to the question
No one's answered till now
And I don't know what you see
What you see in me
But girl it's nothing to what I see in you

Stars that glisten
Lips for kissin'
Honey, listen, it's true
No one ever loved you better
I love you, honey, I love you

And I've known a girl or two
But none of them was you
And they can never be what you are to me

Stars that glisten
Lips for kissin'
Honey, listen, it's true
No one ever loved you better
I love you, honey, I love you
I love you
I love you
I love you
",Ogie Alcasid
If / Aubrey,"

If a picture paints a thousand words
Then why can't I paint you?
The words will never show
The ""you"" I've come to know
If a face could launch a thousand ships
Then where am I to go?
There's no one home but you
You're all that's left, me too

And when my love for life is running dry
You'll come to pour yourself on me

And Aubrey was her name
A not so very ordinary girl or name
But who's to blame?
For the love that wouldn't bloom
For the hearts that never played in tune
Like a lovely melody that everyone can sing
Take away the words that rhyme
It doesn't mean a thing

And Aubrey was her name
We tripped the light
And danced together to the moon
But where was June?
No, it never came around
If it did, it never made a sound
Maybe I was absent or was listening too fast
Catching all the words
But then the meaning wouldn't last

God, I miss the girl
And I'd go a thousand times around the world
Just to be closer to her than to me

Then one by one the stars would all go out
Then you and I would simply fly away
",Ogie Alcasid
Never Been To Me,"

Hey lady, you lady
Cursing at your life
You're a discontented mother
And a regimented wife
I've no doubt you dream about
The things you'll never do
That is why I tell you the story
Of a woman just like you

Whoooa, she's been to Georgia
And California
And anywhere she could run
Took the hand of a preacher man
And they made love in the sun
But she ran out of places
And friendly faces
Because she had to be free
And she said ""I've been to paradise,
But I've never been to me.""

Please lady, please, lady
Don't just walk away
'Cause I have this need to tell you
Why she's all alone today
I can see so much of her
Still living in your eyes
Won't you share a part
Of a weary heart
That has lived a million lies

Whoooa, she's been to Nice
And the Isle of Greece
While she sipped champagne on a yacht
Moved like Harlow in Monte Carlo
And showed 'em what she's got
She's been undressed by kings
And she seen some things
That a woman ain't supposed to see
And she said ""I've been to paradise,
But I've never been to me.""

Sometimes she's been to crying
For unborn children
That might have made her complete
She took the sweet life and never knew
She'd be bitter from the sweet
She spent her life exploring
The subtle whoring
That costs too much to be free
And she said ""I've been to paradise,
I've been to paradise, but I've never been to me.""
",Ogie Alcasid
Anyone Can See,"

If I could, I'd try to know you
And I would never let you go, oh, no
But if I would have made you
A bit of time, it would take to say, someday

Anyone can see
What you mean to me
Anyone would know, my love is here waiting just for you

On the night when you left me
I cried, wishing you would say, you'd stay
Maybe I don't have the strength to
Tell you, I need you so
I guess you'll never know

Anyone can see
What you mean to me
Anyone can tell
I fell for you so easily

Anyone can see
What you mean to me
Anyone can tell
I fell for you so easily
So easily

(Anyone, anyone, anyone, anyone can)
(Anyone, anyone, anyone, anyone can see) I fell
(Anyone, anyone, anyone) I fell for you
Anyone can see
",Ogie Alcasid
My Fair Share,"

Lost, lost as a child's first thought
I must have arms to hold me
Lost without loving care
I must have my fair share

Fair, fair is a changing word
But fair is an honored promise
Justice, if you're still there
I will have my fair share

Justice is a lady
Lay me down with justice
In a long white gown
With a breath of love we can share

Share, sleep with me if you dare
Celebrate my fair share

Fair, fair is a changing word
But fair is an honored promise
Justice, if you're still there
I will have my fair share

Justice is a lady
Lay me down with justice
In a long white gown
With a breath of love we can share

Share, sleep with me if you dare
Celebrate my fair share

Ooh-ooh-ooh-ooh-ooh
Ooh-ooh-ooh
",Ogie Alcasid
I,"

I know I'll never find any other
Love that's as sweet as you
You are the one love I've waited for
A miracle dream come true

I love this feeling, this crazy feeling
I feel inside for you
Please help me make this last till forever
Don't ever let it go

You to me are like a melody
From which a symphony
Burst into ecstasy
You and me
Our love was meant to be
I'll never let you go

Loving you is all I want to do
And I'll do anything to keep from losing you
You and I, this love we can't deny
I'll never, I'll never
I'll never, I'll never let you go

I love this feeling, this crazy feeling
I feel inside for you
Please help me make this last till forever
Don't ever let it go

You to me are like a melody
From which a symphony
Burst into ecstasy
You and me
Our love was meant to be
I'll never let you go

Loving you is all I want to do
And I'll do anything to keep from losing you
You and I, this love we can't deny
I'll never, I'll never
I'll never, I'll never let you go
",Ogie Alcasid
Ikaw Ang Buhay Ko,"

Minsan ako ay nangarap
Minsan ako ay nagdasal
Na puso ko ay mayroong natagpuan
Na mamahalin magpakailanman

Ikaw pala ang aking hinihintay
Ikaw palang ligaya kong tunay

Ikaw ang buhay ko
Ikaw ang pangarap ko
Ikaw ang pag-asa ko
Ikaw ang lahat
Ang aking pag-ibig
Ay para lang sa'yo
Asahan mong ako ay iyong-iyo

Ang aking pag-ibig
Ay para lang sa'yo
Asahan mong ako ay iyong-iyo

Mahal ko...

Ikaw ang buhay ko
Ikaw ang pangarap ko
Ikaw ang pag-asa ko
Ikaw ang lahat
Ang aking pag-ibig
Ay para lang sa'yo
Asahan mong ako ay iyong-iyo

Ikaw ang buhay ko
Ikaw ang pangarap ko
Ikaw ang pag-asa ko
Ikaw ang lahat
Ang aking pag-ibig
Ay para lang sa'yo
Asahan mo mahal ko ako ay iyong-iyo

Ikaw ang buhay ko...
",Ogie Alcasid
Habang Buhay (Saranghaeyo),"

Ikaw lang
Ang inibig nang ganito
Na para bang ang lahat ay walang halaga
Kapag kasama ka

Pag asa (pag asa)
Yan ang binibigay mo sa akin
Sagot sa aking dalangin
Na hindi na ako mag-iisa

Habang buhay
Ikaw ay aking iibigin
At 'di kita pababayaan
Hinding hindi malilimutan
Ang aking pangako sa'yo
Habang buhay (habang buhay)
Saranghaeyo

'Di ko akalain
Na ikaw ay magiging akin

Habang buhay
Ikaw ay aking iibigin
At 'di kita pababayaan (pababayaan)
Hinding hindi malilimutan
Ang aking pangako sa'yo (sa'yo)
Habang buhay
Saranghaeyo

Ikaw ang aking iibigin
At 'di kita pababayaan
Hinding hindi malilimutan
Ang aking pangako sa'yo (sa'yo)
Mahal ko
Habang buhay (habang buhay)
Saranghaeyo
",Ogie Alcasid
I Love You,"

I never would have thought my dream could come true
That one day, I could meet someone as special as you
You always bring me joy, you are an answered prayer

I love you, you are God's gift to me
I love you for showing me the things I could not see
You have given me a chance to be myself again
I love you, you are everything to me

So I say, thank you
For being you
Thank you for loving me too (ah)

I love you, you are God's gift to me
I love you for showing me the things I could not see
You have given me a chance to be myself again
I love you, you are everything to me

I love you, you are God's gift to me
I love you for showing me the things I could not see
You have given me a chance to be myself again
I love you (I love you), you are everything to me

Aldub you, you are everything to me
",Ogie Alcasid
Ikaw Ang Aking Pangarap,"

Mula ng makilala ka
Buhay ko'y biglang nag-iba
Kay saya ng bawat sandali
Kailanma'y hindi ipagpapalit

Ikaw ang aking hiniling
Sa habang buhay ay makapiling
Nguni't mahal ikaw ay nasaan
Aking minimithi ay ikaw lamang

Ikaw ang aking pangarap
Ikaw ang sagot sa 'king dasal
Puso ko ay iaalay
Pagka't minamahal kitang tunay

Ikaw ang aking pag-ibig
Ang nagbibigay kulay sa'king daigdig
Wala nang nanaisin pa
Kung magpakailanman ay kasama ka
Ikaw ang pangarap

Nguni't mahal ikaw ay nasaan
Aking minimithi ay ikaw lamang
Ikaw lamang

Ikaw ang aking pangarap
Ikaw ang sagot sa 'king dasal
Puso ko ay iaalay
Pagka't minamahal kitang tunay

Ikaw ang aking pag-ibig
Ang nagbibigay kulay sa'king daigdig
Wala nang nanaisin pa
Kung magpakailanman ay kasama ka
Ikaw ang pangarap
Ikaw ang aking pangarap
",Ogie Alcasid
The Lord Is Our Saviour,"

There are times when we just can't go on
Fighting the good fight just wasn't enough
There are days when we don't understand
Why nothing seems to be right

But every time we go down on our knees
Suddenly we hear a voice as we pray
Telling our hearts that all we need is to be still
And remember that help is on the way

The Lord is our Saviour
He is our strength
He is the beginning and the end
He laid His life
So all of our sins would be forgiven
This is how Jesus loves us all

Still there are moments when we don't really know
How to follow His will just how to keep still
Oh, Lord we pray that You would guide us
And lead us back when we have gone astray

The Lord is our Saviour (the Lord is our Saviour)
He is our strength (he is our strength)
He is the beginning and the end
He laid His life (he laid His life)
So all of our sins would be forgiven
This is how Jesus loves us all

The Lord is our Saviour (the Lord is our Saviour)
He is our strength (he is our strength)
He is the beginning and the end
He laid His life (he laid His life)
So all of our sins would be forgiven
This is how Jesus loves us all

The Lord is my Saviour
He is my strength
He is the beginning and the end
He laid His life
So all of our sins would be forgiven
This is how Jesus loves us all
This is how Jesus loves us all
",Ogie Alcasid
Tanging Yaman,"

Ikaw ang aking, tanging yaman
Na 'di lubusang, masumpungan
Ang nilikha mong kariktan
Sulyap ng 'yong kagandahan

Ika'y hanap sa t'wina
Nitong pusong, ikaw lamang ang saya
Sa ganda ng umaga
Nangungulila sa'yo sinta

Ikaw ang aking, tanging yaman
Na 'di lubusang, masumpungan
Ang nilikha mong kariktan
Sulyap ng 'yong kagandahan

Ika'y hanap sa t'wina
Sa kapwa ko, ika'y laging nadarama
Sa iyong mga likha
Hangad pa ring masdan
Ang 'yong mukha

Ikaw ang aking, tanging yaman
Na 'di lubusang, masumpungan
Ang nilikha mong kariktan
Sulyap ng 'yong kagandahan
",Ogie Alcasid
Hawak Kamay,"

Minsan madarama mo kay bigat ng problema
Minsan mahihirapan ka at masasabing ""di ko makakaya""
Tumingin ka lang sa langit
Baka sakaling may masumpungan
Di kaya ako'y tawagin
Malaman mong kahit kailan

Hawak-kamay
Di kita iiwan sa paglakbay
Dito sa mundong walang katiyakan
Hawak-kamay
Di kita bibitawan sa paglalakbay
Sa mundo ng kawalan

Woohhhhhhhhhâ¦.

Minsan madarama mo
Ang mundo'y gumuho sa ilalim ng iyong mga paa
At ang agos ng problema'y tinatangay ka
Tumingin ka lang sa langit
Baka sakaling may masumpungan
Di kaya ako'y tawagin
Malaman mong kahit kailan

Hawak-kamay
Di kita iiwan sa paglakbay
Dito sa mundong walang katiyakan
Hawak-kamay
Di kita bibitawan sa paglalakbay
Sa mundo ng kawalan

Wag mong sabihin nag-iisa ka
Laging isiping may kasama
Narito ako oh, Narito ako

Hawak-kamay
Di kita iiwan sa paglakbay
Dito sa mundong walang katiyakan
Hawak-kamay
Di kita bibitawan sa paglalakbay
Sa mundo ng kawalan

Sa mundo ng kawalan
Hawak-kamay, Hawak-kamay
Ohhhhh
Hawak-kamay, Hawak-kamay, Hawak-kamayyyyyy

Sa mundo ng kawalan
",Ogie Alcasid
